decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
-3290,126,1.486190476190476,1.3,0.6736050559701667,0.8125854202203093,2.1597955321606426
-3280,120,1.754,1.56,0.8287282957853521,0.9252717042146479,2.582728295785352
-3270,120,1.6929166666666666,1.585,0.7785338470358191,0.9143828196308476,2.471450513702486
-3260,108,1.6105555555555555,1.46,0.7320919115645201,0.8784636439910354,2.3426474671200754
-3250,97,1.4417525773195876,1.33,0.6540562703705214,0.7876963069490662,2.095808847690109
-3240,90,1.299111111111111,1.125,0.6202276574502038,0.6788834536609073,1.9193387685613148
-3230,87,1.5937931034482757,1.45,0.7010013458821807,0.8927917575660951,2.2947944493304564
-3220,80,1.137625,1.125,0.4279365969541028,0.7096884030458973,1.5655615969541028
-3210,88,1.4946590909090909,1.39,0.621643999211354,0.8730150916977368,2.1163030901204447
-3200,80,1.24,1.165,0.4303575199025908,0.8096424800974091,1.6703575199025908
-3190,79,1.070886075949367,1.07,0.36680250353358684,0.7040835724157801,1.437688579482954
-3180,70,1.0822857142857143,1.025,0.27657413204708486,0.8057115822386294,1.3588598463327992
-3170,70,1.2691428571428571,1.18,0.5304653217288909,0.7386775354139662,1.7996081788717482
-3160,59,1.2503389830508473,1.24,0.4805563087380224,0.7697826743128249,1.7308952917888698
-3150,47,1.1514893617021276,0.96,0.5028915464521769,0.6485978152499506,1.6543809081543044
-3140,29,0.8817241379310345,0.91,0.19532151087588237,0.6864026270551522,1.0770456488069169
-3130,20,1.1215,1.12,0.19434843912281283,0.9271515608771871,1.3158484391228127
-3120,20,1.189,1.125,0.27999812029444243,0.9090018797055577,1.4689981202944424
-3110,20,0.9755,0.92,0.16024569950712036,0.8152543004928796,1.1357456995071205
-3100,20,1.1199999999999999,1.08,0.19732420557362737,0.9226757944263725,1.3173242055736272
-3090,20,0.95,0.89,0.19095328720589452,0.7590467127941054,1.1409532872058945
-3080,20,1.0135,0.92,0.3341017021333789,0.6793982978666211,1.347601702133379
-3070,20,1.0415,1.0150000000000001,0.18680907788152956,0.8546909221184705,1.2283090778815295
-3060,20,0.8960000000000001,0.91,0.23002059404368672,0.6659794059563134,1.126020594043687
-3050,20,0.9765,0.94,0.26952736410242284,0.7069726358975772,1.2460273641024229
-3040,11,0.9363636363636364,0.94,0.16895400127092153,0.7674096350927149,1.105317637634558
-3030,10,1.034,1.02,0.14975535605335344,0.8842446439466466,1.1837553560533536
-3020,5,1.144,1.23,0.21766947420343538,0.9263305257965645,1.3616694742034352
-2920,30,3.043,2.7800000000000002,1.4299678076916567,1.6130321923083435,4.472967807691656
-2910,73,2.4401369863013698,1.99,1.7585525085758937,0.681584477725476,4.1986894948772635
-2900,135,2.7016296296296294,2.7,1.0605477375361967,1.6410818920934327,3.762177367165826
-2890,160,2.142875,1.98,1.2088662953882807,0.9340087046117194,3.3517412953882806
-2880,160,2.036625,1.9649999999999999,0.7635969890166017,1.2730280109833982,2.8002219890166016
-2870,157,1.6130573248407643,1.29,0.9698074501067422,0.6432498747340221,2.5828647749475064
-2860,158,1.2674050632911393,1.0350000000000001,0.922322035294336,0.34508302799680335,2.1897270985854753
-2850,161,1.7324223602484472,1.57,0.9945091605897325,0.7379131996587147,2.7269315208381797
-2840,141,1.1384397163120568,0.96,0.71526646751697,0.4231732487950868,1.8537061838290267
-2830,139,1.3447482014388488,1.12,0.9359172288864288,0.40883097255241996,2.2806654303252776
-2820,133,1.2238345864661655,1.1,0.7139897735076476,0.5098448129585179,1.937824359973813
-2810,140,1.2095714285714285,0.74,1.1126505210135003,0.09692090755792826,2.322221949584929
-2800,122,0.8983606557377048,0.5700000000000001,0.7637060148492493,0.13465464088845558,1.6620666705869542
-2790,124,1.0571774193548387,0.85,0.7115888102922386,0.3455886090626,1.7687662296470772
-2780,125,1.09736,0.97,0.732146803541123,0.36521319645887684,1.8295068035411228
-2770,115,0.9566956521739131,0.69,0.6535083748763761,0.3031872772975369,1.610204027050289
-2760,110,0.8121818181818182,0.665,0.5676401848732191,0.24454163330859913,1.3798220030550374
-2750,100,0.6901999999999999,0.49,0.8975420757701433,-0.2073420757701434,1.5877420757701433
-2740,102,1.318529411764706,0.945,1.22513720957887,0.09339220218583599,2.5436666213435757
-2730,100,1.3722999999999999,0.8,1.4183721320762421,-0.04607213207624228,2.790672132076242
-2720,99,1.1863636363636363,0.88,0.9906125239172701,0.19575111244636623,2.1769761602809066
-2710,104,1.481730769230769,1.105,1.0175417191014942,0.4641890501292749,2.499272488332263
-2700,160,2.3701250000000003,2.2,1.4081121611897847,0.9620128388102156,3.778237161189785
-2690,224,1.8762500000000002,1.6349999999999998,1.3635035490423635,0.5127464509576367,3.239753549042364
-2680,267,1.5713483146067415,1.28,1.0584630555078285,0.512885259098913,2.6298113701145702
-2670,322,1.450031055900621,1.3450000000000002,1.0142451111294408,0.43578594477118027,2.4642761670300617
-2660,411,1.456447688564477,1.33,0.9004690019519559,0.5559786866125211,2.356916690516433
-2650,450,1.7537777777777779,1.665,0.7744626383010523,0.9793151394767255,2.5282404160788303
-2640,417,1.049136690647482,0.91,0.6629727797968193,0.3861639108506626,1.7121094704443012
-2630,408,1.3668382352941175,1.25,0.713073117615005,0.6537651176791125,2.0799113529091224
-2620,406,1.0707881773399015,0.96,0.5887755609680253,0.4820126163718762,1.6595637383079267
-2610,381,1.046272965879265,0.96,0.6419897269459031,0.40428323893336204,1.6882626928251683
-2600,336,1.4709821428571428,1.3250000000000002,0.8992885677236087,0.5716935751335341,2.3702707105807512
-2590,258,0.8581782945736434,0.745,0.5463356666870254,0.311842627886618,1.4045139612606687
-2580,146,1.2644520547945204,1.1150000000000002,0.723582114894881,0.5408699398996394,1.9880341696894015
-2570,98,0.976530612244898,0.79,0.6643237039194914,0.31220690832540665,1.6408543161643894
-2560,113,0.9248672566371682,0.7,0.6487916172231373,0.2760756394140309,1.5736588738603055
-2550,102,1.202549019607843,1.05,0.6734170088959117,0.5291320107119313,1.8759660285037547
-2540,100,1.2161,1.07,0.6931146143942347,0.5229853856057652,1.9092146143942346
-2530,93,1.2236559139784946,1.08,0.6222466045223909,0.6014093094561037,1.8459025185008855
-2520,82,0.9690243902439024,0.74,0.6617384693871949,0.3072859208567075,1.6307628596310972
-2510,80,0.8161250000000001,0.715,0.5080578401986744,0.3080671598013257,1.3241828401986746
-2500,63,0.9092063492063492,0.77,0.7084997816543056,0.20070656755204364,1.6177061308606548
-2490,51,0.7864705882352941,0.58,0.555041704845363,0.23142888338993117,1.3415122930806571
-2480,29,0.8658620689655172,0.66,0.4476567342553197,0.4182053347101975,1.313518803220837
