region,decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
Argentina,1410,130,0.40915384615384615,0.25,0.39661950331703183,0.012534342836814316,0.805773349470878
Argentina,1420,130,0.38676923076923075,0.24,0.39189702686556627,-0.005127796096335513,0.778666257634797
Argentina,1430,130,0.37738461538461543,0.245,0.39299398154287385,-0.01560936615825842,0.7703785969274892
Argentina,1440,130,0.46169230769230774,0.295,0.44142148548450433,0.020270822207803407,0.9031137931768121
Argentina,1450,160,0.5014375,0.31,0.5141309414925346,-0.012693441492534596,1.0155684414925346
Argentina,1460,161,0.3762111801242236,0.26,0.3852319822187971,-0.00902080209457351,0.7614431623430207
Argentina,1470,175,0.5465714285714286,0.42,0.4246874635631685,0.1218839650082601,0.971258892134597
Argentina,1480,180,0.37672222222222224,0.24,0.3334697067403123,0.04325251548190995,0.7101919289625345
Argentina,1490,181,0.4355801104972376,0.31,0.33298368402135287,0.10259642647588474,0.7685637945185905
Argentina,1500,190,0.511,0.43,0.33932792274353013,0.17167207725646988,0.8503279227435301
Argentina,1510,202,0.5641584158415841,0.44,0.4161688982780854,0.1479895175634987,0.9803273141196696
Argentina,1520,232,0.7253879310344827,0.54,0.547720838800485,0.17766709223399768,1.273108769834968
Argentina,1530,248,0.6056451612903225,0.52,0.37276783308837014,0.2328773282019524,0.9784129943786927
Argentina,1540,258,0.5382170542635659,0.495,0.31862288703703956,0.21959416722652636,0.8568399413006055
Argentina,1550,270,0.5373703703703704,0.47,0.348594805113729,0.1887755652566414,0.8859651754840994
Argentina,1560,270,0.48644444444444446,0.44,0.31907036588986987,0.1673740785545746,0.8055148103343144
Argentina,1570,285,0.5018947368421053,0.5,0.28380449059282403,0.21809024624928125,0.7856992274349293
Argentina,1580,290,0.5971724137931035,0.545,0.37559494387721165,0.22157746991589183,0.9727673576703151
Argentina,1590,304,0.6884210526315789,0.655,0.38757961858622386,0.30084143404535507,1.0760006712178027
Argentina,1600,379,0.5926912928759894,0.54,0.3251432524388675,0.26754804043712194,0.9178345453148569
Argentina,1610,397,0.49889168765743075,0.48,0.26925595358662285,0.2296357340708079,0.7681476412440535
Argentina,1620,410,0.4878048780487805,0.41,0.33877105809823443,0.14903381995054604,0.8265759361470149
Argentina,1630,418,0.44401913875598087,0.39,0.2901626429178295,0.15385649583815136,0.7341817816738103
Argentina,1640,438,0.5419178082191781,0.51,0.30987112195586636,0.23204668626331176,0.8517889301750445
Argentina,1650,459,0.531677559912854,0.49,0.3073090996129955,0.22436846029985852,0.8389866595258495
Argentina,1660,527,0.6264895635673625,0.48,0.5505942273742706,0.07589533619309197,1.1770837909416332
Argentina,1670,615,0.64130081300813,0.46,0.5317409782930789,0.10955983471505115,1.173041791301209
Argentina,1680,695,0.6878848920863309,0.53,0.5238317464097019,0.164053145676629,1.2117166384960327
Argentina,1690,751,0.6495073235685753,0.51,0.5102863479912958,0.13922097557727953,1.1597936715598711
Argentina,1700,824,0.7190898058252427,0.6,0.5254125467615847,0.19367725906365807,1.2445023525868275
Argentina,1710,912,0.609703947368421,0.56,0.40443591385372485,0.2052680335146962,1.014139861222146
Argentina,1720,1078,0.7349350649350649,0.65,0.5217992099110831,0.2131358550239818,1.2567342748461479
Argentina,1730,1301,0.8197463489623367,0.75,0.5226026702919485,0.29714367867038816,1.3423490192542853
Argentina,1740,1563,0.8381126039667307,0.74,0.5475609591246947,0.290551644842036,1.3856735630914254
Argentina,1750,1807,0.8916325401217488,0.75,0.6080848264427066,0.2835477136790422,1.4997173665644552
Argentina,1760,2141,1.0311022886501635,0.87,0.7552663077397993,0.2758359809103642,1.7863685963899627
Argentina,1770,2429,1.0044997941539728,0.84,0.7654390362024017,0.2390607579515711,1.7699388303563746
Argentina,1780,2686,1.0011169024571853,0.87,0.6619983429496014,0.33911855950758396,1.6631152454067868
Argentina,1790,3036,1.0498056653491437,0.94,0.6811617136765442,0.36864395167259945,1.7309673790256879
Argentina,1800,3487,1.143392601089762,1.03,0.722314553943849,0.4210780471459129,1.8657071550336108
Argentina,1810,3790,1.1544775725593668,1.02,0.7699501301049861,0.38452744245438064,1.924427702664353
Argentina,1820,4142,1.1769314340898118,1.07,0.7328481649516805,0.44408326913813134,1.9097795990414923
Argentina,1830,4566,1.2379500657030222,1.125,0.7447736871302696,0.49317637857275265,1.9827237528332917
Argentina,1840,4900,1.103734693877551,0.98,0.737310152854797,0.366424541022754,1.841044846732348
Argentina,1850,5300,1.04418679245283,0.9,0.7155507718998949,0.32863602055293517,1.7597375643527249
Argentina,1860,5543,1.1517986649828613,1.03,0.7325904768726007,0.4192081881102606,1.8843891418554621
Argentina,1870,5740,1.158945993031359,1.02,0.7422097619706745,0.4167362310606846,1.9011557550020335
Argentina,1880,5968,1.0715516085790886,0.93,0.7053853785543688,0.3661662300247198,1.7769369871334573
Argentina,1890,6156,1.1737199480181937,1.05,0.7139711728156537,0.45974877520254,1.8876911208338474
Argentina,1900,6203,1.0914186683862646,1.01,0.6266159780597067,0.46480269032655785,1.7180346464459713
Argentina,1910,6211,1.0662920624698116,0.97,0.6375680830934823,0.4287239793763292,1.703860145563294
Argentina,1920,6199,1.0626939829004678,0.92,0.6854797914216677,0.3772141914788001,1.7481737743221355
Argentina,1930,6106,0.9180658368817557,0.75,0.667528041911114,0.25053779497064166,1.5855938787928698
Argentina,1940,6013,0.9843655413271245,0.84,0.6597751719600832,0.32459036936704133,1.6441407132872077
Argentina,1950,5892,0.9944874405974203,0.83,0.6906815254707857,0.3038059151266347,1.6851689660682059
Argentina,1960,5712,1.0904551820728292,0.935,0.727847082623249,0.36260809944958017,1.8183022646960783
Argentina,1970,5442,1.0417695700110254,0.88,0.7397648432771018,0.30200472673392365,1.7815344132881272
Argentina,1980,3229,1.0516847321152059,0.89,0.711427399799189,0.34025733231601685,1.763112131914395
Australia,-2150,5,0.7612,0.825,0.11276612966666895,0.648433870333331,0.873966129666669
Australia,-2140,10,0.4887,0.47500000000000003,0.2662250718638064,0.22247492813619363,0.7549250718638064
Australia,-2130,10,0.5526,0.558,0.10560429284203682,0.44699570715796316,0.6582042928420369
Australia,-2120,10,0.5736,0.5774999999999999,0.05088592907452686,0.5227140709254732,0.6244859290745268
Australia,-2110,10,0.4854,0.4585,0.10590372986821568,0.37949627013178433,0.5913037298682157
Australia,-2100,10,0.6886,0.7004999999999999,0.14625259731786722,0.5423474026821328,0.8348525973178672
Australia,-2090,10,0.48789999999999994,0.487,0.14168780234492076,0.34621219765507916,0.6295878023449207
Australia,-2080,10,0.45520000000000005,0.4515,0.07587972939681148,0.37932027060318857,0.5310797293968115
Australia,-2070,10,0.39740000000000003,0.3715,0.07913027233619256,0.31826972766380746,0.4765302723361926
Australia,-2060,10,0.271,0.252,0.13236145796853235,0.13863854203146767,0.4033614579685324
Australia,-2050,10,0.3957,0.364,0.08544790485696208,0.3102520951430379,0.48114790485696207
Australia,-2040,10,0.34130000000000005,0.317,0.07631375294721711,0.26498624705278295,0.41761375294721714
Australia,-2030,10,0.33039999999999997,0.32799999999999996,0.07311968879097401,0.25728031120902595,0.403519688790974
Australia,-2020,10,0.40540000000000004,0.4135,0.056741519190095714,0.3486584808099043,0.4621415191900958
Australia,-2010,10,0.41529999999999995,0.44199999999999995,0.13781795561133856,0.2774820443886614,0.5531179556113385
Australia,-2000,10,0.2887,0.27349999999999997,0.06528748391196856,0.22341251608803145,0.35398748391196855
Australia,-1990,10,0.3976,0.4165,0.07581292765749123,0.3217870723425088,0.4734129276574912
Australia,-1980,10,0.4619,0.42,0.12507193485706092,0.33682806514293906,0.5869719348570609
Australia,-1970,10,0.3735,0.3615,0.08679125660008745,0.28670874339991254,0.46029125660008746
Australia,-1960,10,0.3661,0.3745,0.07167589087924428,0.2944241091207557,0.4377758908792443
Australia,-1950,10,0.3483,0.3585,0.08887450578077932,0.2594254942192207,0.4371745057807793
Australia,-1940,10,0.3907,0.398,0.07765314617651439,0.3130468538234856,0.46835314617651436
Australia,-1930,10,0.3807,0.3635,0.08477427544826188,0.2959257245517381,0.46547427544826186
Australia,-1920,27,0.36833333333333335,0.332,0.1018335746356619,0.26649975869767145,0.47016690796899524
Australia,-1910,30,0.4037,0.3845,0.08507771295338934,0.31862228704661066,0.48877771295338934
Australia,-1900,38,0.37894736842105264,0.362,0.08133113740632517,0.29761623101472745,0.46027850582737784
Australia,-1890,40,0.34445000000000003,0.3175,0.09943428444493842,0.24501571555506163,0.44388428444493844
Australia,-1880,40,0.34445000000000003,0.3245,0.08693497422550803,0.25751502577449203,0.43138497422550803
Australia,-1870,40,0.29435,0.28,0.09195303985438186,0.20239696014561814,0.38630303985438186
Australia,-1860,44,0.42370454545454544,0.4335,0.10451005950145606,0.3191944859530894,0.5282146049560015
Australia,-1850,50,0.37323999999999996,0.379,0.08350841580466056,0.2897315841953394,0.4567484158046605
Australia,-1840,50,0.35278,0.34450000000000003,0.0728695479635229,0.2799104520364771,0.4256495479635229
Australia,-1830,50,0.3882,0.3815,0.08323191107026297,0.30496808892973704,0.47143191107026294
Australia,-1820,50,0.37622,0.358,0.07114035853328896,0.30507964146671107,0.4473603585332889
Australia,-1810,50,0.26626,0.2595,0.06405954181821147,0.20220045818178853,0.33031954181821144
Australia,-1800,50,0.28216,0.2365,0.15237190806492823,0.1297880919350718,0.43453190806492825
Australia,-1790,50,0.36442,0.3405,0.1554530035944324,0.20896699640556762,0.5198730035944324
Australia,-1780,50,0.34009999999999996,0.3185,0.1276603033884241,0.21243969661157586,0.46776030338842406
Australia,-1770,50,0.26584,0.295,0.09344197370015037,0.17239802629984965,0.35928197370015036
Australia,-1760,50,0.258,0.2505,0.09606906529222843,0.1619309347077716,0.3540690652922284
Australia,-1750,50,0.28914,0.2925,0.09464779178510145,0.19449220821489854,0.3837877917851015
Australia,-1740,50,0.31436,0.312,0.08805859830075582,0.22630140169924415,0.40241859830075577
Australia,-1730,50,0.341,0.3655,0.11222262858865381,0.22877737141134621,0.4532226285886538
Australia,-1720,50,0.29618,0.271,0.10887339398754567,0.18730660601245433,0.4050533939875457
Australia,-1710,50,0.37956,0.3905,0.15249532077130387,0.22706467922869614,0.5320553207713039
Australia,-1700,50,0.36406,0.386,0.1547716435031077,0.20928835649689229,0.5188316435031077
Australia,-1690,41,0.4630975609756097,0.5,0.17283124788041784,0.2902663130951919,0.6359288088560275
Australia,-1680,40,0.380775,0.4365,0.16161786006598308,0.2191571399340169,0.5423928600659831
Australia,-1670,40,0.34009999999999996,0.3745,0.12831287882280124,0.21178712117719872,0.4684128788228012
Australia,-1660,40,0.2189,0.23,0.07419198933881799,0.14470801066118202,0.29309198933881797
Australia,-1650,40,0.17815,0.203,0.11918882885185558,0.05896117114814442,0.2973388288518556
Australia,-1640,40,0.17065,0.207,0.10841599607589374,0.06223400392410626,0.2790659960758937
Australia,-1630,43,0.18634883720930231,0.206,0.11364939480301652,0.0726994424062858,0.29999823201231884
Australia,-1620,70,0.23065714285714287,0.262,0.10653840373301683,0.12411873912412603,0.3371955465901597
Australia,-1610,70,0.1831142857142857,0.1985,0.09015695538645294,0.09295733032783277,0.27327124110073864
Australia,-1600,70,0.18874285714285713,0.194,0.09982138914505678,0.08892146799780035,0.2885642462879139
Australia,-1590,70,0.2105857142857143,0.218,0.10656106541568491,0.10402464887002938,0.3171467797013992
Australia,-1580,70,0.20344285714285715,0.1965,0.07219330646926211,0.13124955067359503,0.2756361636121193
Australia,-1570,76,0.19346052631578947,0.174,0.10284712808039885,0.09061339823539062,0.29630765439618834
Australia,-1560,90,0.3094222222222222,0.2555,0.15743227384795921,0.151989948374263,0.4668544960701814
Australia,-1550,90,0.24433333333333332,0.197,0.16491993290582835,0.07941340042750497,0.4092532662391617
Australia,-1540,93,0.16406451612903225,0.148,0.06441742379262416,0.09964709233640809,0.2284819399216564
Australia,-1530,100,0.22166,0.2155,0.07454430178955954,0.14711569821044046,0.29620430178955953
Australia,-1520,100,0.18722000000000003,0.1795,0.05629514215545628,0.13092485784454375,0.2435151421554563
