region,decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
Argentina,1450,1,-0.06899999999999995,-0.06899999999999995,0.0,-0.06899999999999995,-0.06899999999999995
Argentina,1460,1,-0.16069999999999995,-0.16069999999999995,0.0,-0.16069999999999995,-0.16069999999999995
Argentina,1470,1,0.35340000000000005,0.35340000000000005,0.0,0.35340000000000005,0.35340000000000005
Argentina,1480,1,-0.4024000000000001,-0.4024000000000001,0.0,-0.4024000000000001,-0.4024000000000001
Argentina,1490,1,0.1723,0.1723,0.0,0.1723,0.1723
Argentina,1500,1,0.10419999999999996,0.10419999999999996,0.0,0.10419999999999996,0.10419999999999996
Argentina,1510,1,0.02520000000000011,0.02520000000000011,0.0,0.02520000000000011,0.02520000000000011
Argentina,1520,1,0.18569999999999998,0.18569999999999998,0.0,0.18569999999999998,0.18569999999999998
Argentina,1530,2,0.021949999999999997,0.021949999999999997,0.2476995054496476,-0.22574950544964761,0.2696495054496476
Argentina,1540,2,-0.008450000000000069,-0.008450000000000069,0.18010009716821376,-0.18855009716821383,0.1716500971682137
Argentina,1550,2,-0.10009999999999997,-0.10009999999999997,0.1844134485334517,-0.2845134485334517,0.08431344853345174
Argentina,1560,2,0.04425000000000001,0.04425000000000001,0.1645437479821097,-0.12029374798210968,0.2087937479821097
Argentina,1570,2,0.12240000000000001,0.12240000000000001,0.14283556979968248,-0.020435569799682474,0.2652355697996825
Argentina,1580,3,-0.07883333333333342,0.15270000000000006,0.484900003437135,-0.5637333367704684,0.4060666701038016
Argentina,1590,3,-0.22633333333333328,0.06729999999999992,0.687229076315411,-0.9135624096487442,0.4608957429820777
Argentina,1600,4,-0.2422857142857143,-0.30312142857142854,0.23182672071047838,-0.4741124349961927,-0.010458993575235914
Argentina,1610,4,-0.09925000000000003,-0.08135000000000003,0.13558491804031889,-0.23483491804031892,0.03633491804031885
Argentina,1620,4,0.15742500000000006,0.08505000000000001,0.24708034287116687,-0.0896553428711668,0.4045053428711669
Argentina,1630,4,-0.09162500000000004,-0.08079999999999998,0.06829916422133836,-0.1599241642213384,-0.02332583577866168
Argentina,1640,5,0.09676000000000005,0.09800000000000009,0.13795717813872532,-0.04119717813872527,0.2347171781387254
Argentina,1650,5,-0.014200000000000023,-0.018799999999999928,0.1384168342363024,-0.15261683423630243,0.12421683423630239
Argentina,1660,6,0.07662222222222224,0.07665,0.15241767711225726,-0.07579545489003502,0.2290398993344795
Argentina,1670,10,0.09714833333333331,0.05606249999999996,0.2604303562268509,-0.1632820228935176,0.35757868956018424
Argentina,1680,10,0.052600000000000015,0.05485000000000012,0.22386179268071232,-0.17126179268071232,0.27646179268071236
Argentina,1690,10,0.015980000000000005,-0.01529999999999987,0.22167233977702813,-0.20569233977702814,0.23765233977702813
Argentina,1700,10,-0.031179999999999996,0.043899999999999995,0.25296463872336866,-0.28414463872336865,0.22178463872336868
Argentina,1710,12,-0.14350833333333335,-0.16449999999999998,0.1293475407105941,-0.2728558740439274,-0.014160792622739254
Argentina,1720,13,0.0850769230769231,0.14700000000000013,0.23103340362325012,-0.145956480546327,0.31611032670017325
Argentina,1730,16,-0.0733334821428572,-0.00285000000000013,0.27796384440067934,-0.3512973265435365,0.20463036225782213
Argentina,1740,19,-0.08838479532163739,-0.08399999999999996,0.18617802542100476,-0.27456282074264216,0.09779323009936737
Argentina,1750,20,-0.015814285714285753,0.02685000000000004,0.22603702642424617,-0.24185131213853192,0.21022274070996042
Argentina,1760,21,0.13454497354497358,0.13230000000000008,0.2092595117379195,-0.07471453819294593,0.3438044852828931
Argentina,1770,21,-0.04832380952380953,-0.040999999999999925,0.13758969403542515,-0.1859135035592347,0.08926588451161561
Argentina,1780,21,0.009914285714285717,0.018900000000000028,0.1368081002196664,-0.1268938145053807,0.14672238593395212
Argentina,1790,21,-0.033114285714285756,-0.03180000000000005,0.1298408113256933,-0.16295509703997907,0.09672652561140754
Argentina,1800,21,0.05303333333333336,0.0615,0.159897333728031,-0.10686400039469764,0.21293066706136438
Argentina,1810,21,-0.06313809523809522,-0.03649999999999998,0.18896728943441632,-0.25210538467251153,0.1258291941963211
Argentina,1820,21,0.04764761904761902,0.06199999999999983,0.13935713695052585,-0.09170951790290682,0.18700475599814487
Argentina,1830,21,0.0591809523809524,0.02629999999999999,0.1512959438288007,-0.09211499144784832,0.2104768962097531
Argentina,1840,21,-0.10686666666666668,-0.139,0.1442176734430747,-0.2510843401097414,0.03735100677640803
Argentina,1850,21,-0.07176666666666666,-0.043500000000000094,0.1128385188370236,-0.18460518550369026,0.04107185217035694
Argentina,1860,21,0.12657142857142856,0.135,0.08425721418879897,0.042314214382629584,0.21082864276022753
Argentina,1870,21,-0.018971428571428577,-0.03440000000000021,0.1252742277679537,-0.14424565633938227,0.1063027991965251
Argentina,1880,21,-0.05906666666666666,-0.09499999999999997,0.12347703565170869,-0.18254370231837536,0.06441036898504202
Argentina,1890,21,0.11805238095238095,0.0889000000000002,0.10434308611042527,0.013709294841955683,0.22239546706280622
Argentina,1900,21,-0.045500000000000006,-0.03709999999999991,0.12044766498359362,-0.16594766498359362,0.07494766498359362
Argentina,1910,21,-0.03219523809523811,-0.00019999999999997797,0.1705619813328588,-0.2027572194280969,0.1383667432376207
Argentina,1920,21,0.033895238095238145,0.06509999999999994,0.13570103712275186,-0.10180579902751372,0.16959627521799
Argentina,1930,21,-0.1218619047619048,-0.13319999999999999,0.18741931457614094,-0.30928121933804575,0.06555740981423615
Argentina,1940,21,0.07302857142857144,0.10730000000000006,0.15390073470538454,-0.0808721632768131,0.22692930613395598
Argentina,1950,21,0.015090476190476173,0.008899999999999797,0.1161501954572695,-0.10105971926679333,0.13124067164774567
Argentina,1960,21,0.04085238095238096,0.030999999999999694,0.12352107358280053,-0.08266869263041957,0.16437345453518148
Argentina,1970,21,-0.03175714285714283,-0.034399999999999986,0.12372577569540057,-0.1554829185525434,0.09196863283825774
Argentina,1980,19,0.020977192982456108,0.022900000000000142,0.13047453874112802,-0.10949734575867191,0.15145173172358412
Canada,1190,1,0.13444999999999996,0.13444999999999996,0.0,0.13444999999999996,0.13444999999999996
Canada,1200,1,0.6664999999999999,0.6664999999999999,0.0,0.6664999999999999,0.6664999999999999
Canada,1210,1,-0.19789999999999974,-0.19789999999999974,0.0,-0.19789999999999974,-0.19789999999999974
Canada,1220,1,-0.3883000000000001,-0.3883000000000001,0.0,-0.3883000000000001,-0.3883000000000001
Canada,1230,1,-0.04859999999999998,-0.04859999999999998,0.0,-0.04859999999999998,-0.04859999999999998
Canada,1240,1,0.26879999999999993,0.26879999999999993,0.0,0.26879999999999993,0.26879999999999993
Canada,1250,1,0.09109999999999996,0.09109999999999996,0.0,0.09109999999999996,0.09109999999999996
Canada,1260,1,-0.1562,-0.1562,0.0,-0.1562,-0.1562
Canada,1270,1,-0.028899999999999926,-0.028899999999999926,0.0,-0.028899999999999926,-0.028899999999999926
Canada,1280,1,-0.08729999999999993,-0.08729999999999993,0.0,-0.08729999999999993,-0.08729999999999993
Canada,1290,1,-0.0132000000000001,-0.0132000000000001,0.0,-0.0132000000000001,-0.0132000000000001
Canada,1300,1,0.19340000000000002,0.19340000000000002,0.0,0.19340000000000002,0.19340000000000002
Canada,1310,1,-0.027699999999999947,-0.027699999999999947,0.0,-0.027699999999999947,-0.027699999999999947
Canada,1320,1,0.10660000000000003,0.10660000000000003,0.0,0.10660000000000003,0.10660000000000003
Canada,1330,1,0.20889999999999986,0.20889999999999986,0.0,0.20889999999999986,0.20889999999999986
Canada,1340,1,0.01639999999999997,0.01639999999999997,0.0,0.01639999999999997,0.01639999999999997
Canada,1350,1,-0.06679999999999975,-0.06679999999999975,0.0,-0.06679999999999975,-0.06679999999999975
Canada,1360,1,-0.06960000000000033,-0.06960000000000033,0.0,-0.06960000000000033,-0.06960000000000033
Canada,1370,1,0.10470000000000024,0.10470000000000024,0.0,0.10470000000000024,0.10470000000000024
Canada,1380,1,-0.1847000000000001,-0.1847000000000001,0.0,-0.1847000000000001,-0.1847000000000001
Canada,1390,1,0.00550000000000006,0.00550000000000006,0.0,0.00550000000000006,0.00550000000000006
Canada,1400,1,-0.037800000000000056,-0.037800000000000056,0.0,-0.037800000000000056,-0.037800000000000056
Canada,1410,1,0.020399999999999974,0.020399999999999974,0.0,0.020399999999999974,0.020399999999999974
Canada,1420,1,-0.041099999999999914,-0.041099999999999914,0.0,-0.041099999999999914,-0.041099999999999914
Canada,1430,1,0.02310000000000012,0.02310000000000012,0.0,0.02310000000000012,0.02310000000000012
Canada,1440,1,-0.07620000000000016,-0.07620000000000016,0.0,-0.07620000000000016,-0.07620000000000016
Canada,1450,1,0.011299999999999977,0.011299999999999977,0.0,0.011299999999999977,0.011299999999999977
Canada,1460,1,-0.017299999999999982,-0.017299999999999982,0.0,-0.017299999999999982,-0.017299999999999982
Canada,1470,1,-0.10410000000000008,-0.10410000000000008,0.0,-0.10410000000000008,-0.10410000000000008
Canada,1480,1,-0.08589999999999987,-0.08589999999999987,0.0,-0.08589999999999987,-0.08589999999999987
Canada,1490,1,0.08489999999999986,0.08489999999999986,0.0,0.08489999999999986,0.08489999999999986
Canada,1500,1,0.24540000000000006,0.24540000000000006,0.0,0.24540000000000006,0.24540000000000006
Canada,1510,1,-0.009099999999999886,-0.009099999999999886,0.0,-0.009099999999999886,-0.009099999999999886
Canada,1520,1,0.053099999999999925,0.053099999999999925,0.0,0.053099999999999925,0.053099999999999925
Canada,1530,1,-0.1835,-0.1835,0.0,-0.1835,-0.1835
Canada,1540,1,0.04849999999999999,0.04849999999999999,0.0,0.04849999999999999,0.04849999999999999
Canada,1550,1,-0.09420000000000006,-0.09420000000000006,0.0,-0.09420000000000006,-0.09420000000000006
Canada,1560,1,-0.0484,-0.0484,0.0,-0.0484,-0.0484
Canada,1570,1,0.11730000000000007,0.11730000000000007,0.0,0.11730000000000007,0.11730000000000007
Canada,1580,1,-0.05740000000000001,-0.05740000000000001,0.0,-0.05740000000000001,-0.05740000000000001
Canada,1590,1,-0.09760000000000013,-0.09760000000000013,0.0,-0.09760000000000013,-0.09760000000000013
Canada,1600,1,0.02990000000000015,0.02990000000000015,0.0,0.02990000000000015,0.02990000000000015
Canada,1610,1,0.18039999999999978,0.18039999999999978,0.0,0.18039999999999978,0.18039999999999978
Canada,1620,1,-0.07099999999999984,-0.07099999999999984,0.0,-0.07099999999999984,-0.07099999999999984
Canada,1630,2,-0.008699999999999986,-0.008699999999999986,0.021071782079359228,-0.029771782079359214,0.012371782079359243
Canada,1640,2,0.0932,0.0932,0.018526197667087782,0.07467380233291222,0.11172619766708779
Canada,1650,2,0.0012000000000000899,0.0012000000000000899,0.05628569978244927,-0.05508569978244918,0.057485699782449357
Canada,1660,2,-0.06950000000000012,-0.06950000000000012,0.0026870057685088986,-0.07218700576850902,-0.06681299423149122
Canada,1670,2,0.0011999999999999789,0.0011999999999999789,0.24692168799034236,-0.24572168799034239,0.24812168799034234
Canada,1680,2,-0.02515000000000006,-0.02515000000000006,0.05734635995422905,-0.0824963599542291,0.03219635995422899
